Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(newSentence),,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
,,,,,,,
Test Cases/Training-Java/Excersice,,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.309s,PASSED
myNumber = 10,,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
myDouble = 3.14,,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
"myString = ""Hello, Java!""",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
"myStringNumber = ""25""",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
intNumber = Integer.parseInt(myStringNumber),,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
TotalNum = myNumber + intNumber,,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
"println(""TotalNum = "" + TotalNum)",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
if (myNumber > 5),,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
,,,,,,,
Test Cases/Training-Java/Excersice-4,,,,2566-11-07 16:33:29,2566-11-07 16:33:30,0.329s,PASSED
"for ([i = 1, i < 11, (i++)])",,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.008s,PASSED
"for ([i = 2, i <= 20, i += 2])",,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.005s,PASSED
"for ([i = 1, i <= 12, (i++)])",,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.012s,PASSED
,,,,,,,
Test Cases/Training-Java/Excersice-5,,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.261s,PASSED
"myArrays = [5, 10, 15, 20, 25]",,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.000s,PASSED
for (def i : myArrays),,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.003s,PASSED
"println(""The 3rd position of myArrays is : "" + myArrays[2])",,,,2566-11-07 16:33:30,2566-11-07 16:33:30,0.000s,PASSED
